@T,table
Created,2017-04-10 08:18
Author,HortonMachine library
@H,timestamp,value_21
ID,,21
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,1994-01-01 00:00,340.9489860427
,1994-01-02 00:00,342.894985314043
,1994-01-03 00:00,326.924359156684
,1994-01-04 00:00,305.960975925533
,1994-01-05 00:00,307.750956996591
,1994-01-06 00:00,332.401549076365
,1994-01-07 00:00,333.484457622109
,1994-01-08 00:00,353.496470429985
,1994-01-09 00:00,337.158160457859
,1994-01-10 00:00,339.844904159513
,1994-01-11 00:00,361.490303600392
,1994-01-12 00:00,344.504496225979
,1994-01-13 00:00,366.075965789914
,1994-01-14 00:00,308.217119959054
,1994-01-15 00:00,373.158593837649
,1994-01-16 00:00,376.799824855185
,1994-01-17 00:00,380.439684900686
,1994-01-18 00:00,383.328253618026
,1994-01-19 00:00,310.606395540249
,1994-01-20 00:00,325.53990380186
,1994-01-21 00:00,393.001731295566
,1994-01-22 00:00,375.863502192698
,1994-01-23 00:00,335.63723479847
,1994-01-24 00:00,324.589160312688
,1994-01-25 00:00,272.450073686831
,1994-01-26 00:00,411.208099971036
,1994-01-27 00:00,331.246785038969
,1994-01-28 00:00,317.500013252418
,1994-01-29 00:00,339.228357839241
,1994-01-30 00:00,304.512508637961
,1994-01-31 00:00,345.782506833988
,1994-02-01 00:00,331.470643686275
,1994-02-02 00:00,335.261039477929
,1994-02-03 00:00,357.948004683752
,1994-02-04 00:00,361.07640238893
,1994-02-05 00:00,365.081436602515
,1994-02-06 00:00,368.582839182207
,1994-02-07 00:00,371.171976191059
,1994-02-08 00:00,375.939756629968
,1994-02-09 00:00,378.995054431226
,1994-02-10 00:00,384.210824315477
,1994-02-11 00:00,387.0848933241
,1994-02-12 00:00,391.910423854595
,1994-02-13 00:00,396.837251921185
,1994-02-14 00:00,401.604698120423
,1994-02-15 00:00,405.896520694073
,1994-02-16 00:00,409.751958183522
,1994-02-17 00:00,414.078695495141
,1994-02-18 00:00,416.151579229339
,1994-02-19 00:00,453.846717343343
,1994-02-20 00:00,423.335777421441
,1994-02-21 00:00,426.050983674096
,1994-02-22 00:00,468.633163936069
,1994-02-23 00:00,473.766925497852
,1994-02-24 00:00,436.868929204289
,1994-02-25 00:00,438.983173028807
,1994-02-26 00:00,442.610595899556
,1994-02-27 00:00,492.71861873221
,1994-02-28 00:00,496.411567670265
,1994-03-01 00:00,502.1268085314
,1994-03-02 00:00,506.165684705102
,1994-03-03 00:00,461.53275224875
,1994-03-04 00:00,514.28957393342
,1994-03-05 00:00,435.528025672
,1994-03-06 00:00,437.383759067267
,1994-03-07 00:00,440.269378961176
,1994-03-08 00:00,444.194004123538
,1994-03-09 00:00,446.152269429963
,1994-03-10 00:00,449.998083071485
,1994-03-11 00:00,454.287424682994
,1994-03-12 00:00,458.03479112159
,1994-03-13 00:00,462.847490717696
,1994-03-14 00:00,466.079235500065
,1994-03-15 00:00,470.024105847066
,1994-03-16 00:00,473.245742652485
,1994-03-17 00:00,476.882645285491
,1994-03-18 00:00,481.450743462671
,1994-03-19 00:00,484.864783947408
,1994-03-20 00:00,487.228744267535
,1994-03-21 00:00,489.991614820649
,1994-03-22 00:00,492.942053183595
,1994-03-23 00:00,495.586552758394
,1994-03-24 00:00,499.004483505651
,1994-03-25 00:00,502.157313489895
,1994-03-26 00:00,505.431927672905
,1994-03-27 00:00,509.062715991235
,1994-03-28 00:00,512.385521498147
,1994-03-29 00:00,513.855298997135
,1994-03-30 00:00,515.13898669658
,1994-03-31 00:00,518.194654433098
,1994-04-01 00:00,523.974584481962
,1994-04-02 00:00,527.130098090586
,1994-04-03 00:00,531.021418285893
,1994-04-04 00:00,532.721926686284
,1994-04-05 00:00,536.804250738035
,1994-04-06 00:00,537.723243317636
,1994-04-07 00:00,539.63265627163
,1994-04-08 00:00,542.253796689657
,1994-04-09 00:00,544.679944812665
,1994-04-10 00:00,547.508456503906
,1994-04-11 00:00,474.408302017997
,1994-04-12 00:00,471.817352319323
,1994-04-13 00:00,473.510451570949
,1994-04-14 00:00,474.963686611811
,1994-04-15 00:00,477.696903123872
,1994-04-16 00:00,479.052412159147
,1994-04-17 00:00,480.193732934805
,1994-04-18 00:00,481.455129769286
,1994-04-19 00:00,484.578764478642
,1994-04-20 00:00,484.79323257836
,1994-04-21 00:00,485.890016324901
,1994-04-22 00:00,486.514480697854
,1994-04-23 00:00,487.651010350338
,1994-04-24 00:00,489.02260462245
,1994-04-25 00:00,492.60382904576
,1994-04-26 00:00,492.3189809116
,1994-04-27 00:00,492.147507348108
,1994-04-28 00:00,492.991424863338
,1994-04-29 00:00,494.098306565215
,1994-04-30 00:00,495.041008535694
,1994-05-01 00:00,498.042671316105
,1994-05-02 00:00,500.489792542535
,1994-05-03 00:00,503.042426071935
,1994-05-04 00:00,502.823469747084
,1994-05-05 00:00,505.949757482054
,1994-05-06 00:00,505.035711323672
,1994-05-07 00:00,506.092914709798
,1994-05-08 00:00,506.815542099446
,1994-05-09 00:00,507.867425225736
,1994-05-10 00:00,508.046027240617
,1994-05-11 00:00,511.409546774475
,1994-05-12 00:00,511.1568313398
,1994-05-13 00:00,511.503723261168
,1994-05-14 00:00,512.830326057035
,1994-05-15 00:00,511.616597428358
,1994-05-16 00:00,511.980763394279
,1994-05-17 00:00,512.74067811323
,1994-05-18 00:00,514.75516518821
,1994-05-19 00:00,514.993764678027
,1994-05-20 00:00,515.873982015521
,1994-05-21 00:00,516.628673939554
,1994-05-22 00:00,515.156205393701
,1994-05-23 00:00,515.152683113457
,1994-05-24 00:00,515.06376607716
,1994-05-25 00:00,515.195547548569
,1994-05-26 00:00,801.444972675927
,1994-05-27 00:00,463.696366830924
,1994-05-28 00:00,454.211771998202
,1994-05-29 00:00,452.900175732462
,1994-05-30 00:00,453.157714994787
,1994-05-31 00:00,452.984116960984
,1994-06-01 00:00,519.078943293114
,1994-06-02 00:00,454.268325077564
,1994-06-03 00:00,454.701419959022
,1994-06-04 00:00,455.550865527587
,1994-06-05 00:00,456.097591006462
,1994-06-06 00:00,456.38920005749
,1994-06-07 00:00,456.391461728478
,1994-06-08 00:00,456.030244344577
,1994-06-09 00:00,456.80142449057
,1994-06-10 00:00,459.450469302573
,1994-06-11 00:00,459.513254389722
,1994-06-12 00:00,459.74916427153
,1994-06-13 00:00,458.948007015738
,1994-06-14 00:00,457.278507562034
,1994-06-15 00:00,456.756666362734
,1994-06-16 00:00,456.776602848124
,1994-06-17 00:00,457.028613961713
,1994-06-18 00:00,456.763146281441
,1994-06-19 00:00,456.26737924724
,1994-06-20 00:00,457.26145759325
,1994-06-21 00:00,457.847988086664
,1994-06-22 00:00,455.630020860868
,1994-06-23 00:00,454.613246401773
,1994-06-24 00:00,454.421902701415
,1994-06-25 00:00,454.416768739951
,1994-06-26 00:00,453.726670806266
,1994-06-27 00:00,455.7029534007
,1994-06-28 00:00,454.188335156337
,1994-06-29 00:00,453.697163990484
,1994-06-30 00:00,452.505113532642
,1994-07-01 00:00,454.204835227857
,1994-07-02 00:00,454.590863469976
,1994-07-03 00:00,453.888587258547
,1994-07-04 00:00,453.151779029325
,1994-07-05 00:00,453.287484374241
,1994-07-06 00:00,454.027240318432
,1994-07-07 00:00,453.474600409499
,1994-07-08 00:00,454.919595637209
,1994-07-09 00:00,454.694397848399
,1994-07-10 00:00,453.481472050132
,1994-07-11 00:00,453.156531960431
,1994-07-12 00:00,452.841465961267
,1994-07-13 00:00,452.526976196525
,1994-07-14 00:00,452.039573667882
,1994-07-15 00:00,451.959404352402
,1994-07-16 00:00,454.304043162947
,1994-07-17 00:00,498.630097824212
,1994-07-18 00:00,513.427931015418
,1994-07-19 00:00,514.36858016774
,1994-07-20 00:00,516.030387108862
,1994-07-21 00:00,449.729421952037
,1994-07-22 00:00,512.041911589047
,1994-07-23 00:00,510.908439913575
,1994-07-24 00:00,510.158650032826
,1994-07-25 00:00,509.27529307757
,1994-07-26 00:00,508.453491248258
,1994-07-27 00:00,507.978443422528
,1994-07-28 00:00,507.579520908025
,1994-07-29 00:00,506.112396023773
,1994-07-30 00:00,505.094630612853
,1994-07-31 00:00,504.236136164018
,1994-08-01 00:00,505.368076154691
,1994-08-02 00:00,504.549756690598
,1994-08-03 00:00,503.096945219636
,1994-08-04 00:00,501.702405527217
,1994-08-05 00:00,500.718889013257
,1994-08-06 00:00,500.560502670508
,1994-08-07 00:00,499.791498836552
,1994-08-08 00:00,499.659293362292
,1994-08-09 00:00,498.138367595605
,1994-08-10 00:00,496.480128055765
,1994-08-11 00:00,495.677651711938
,1994-08-12 00:00,495.118758724118
,1994-08-13 00:00,493.99780834412
,1994-08-14 00:00,493.370145531267
,1994-08-15 00:00,491.836140193104
,1994-08-16 00:00,490.014996388672
,1994-08-17 00:00,488.713680580097
,1994-08-18 00:00,486.761009615049
,1994-08-19 00:00,486.293663630965
,1994-08-20 00:00,484.083046898279
,1994-08-21 00:00,481.698281817227
,1994-08-22 00:00,479.532832650638
,1994-08-23 00:00,477.965062683844
,1994-08-24 00:00,478.108517629177
,1994-08-25 00:00,476.788605321175
,1994-08-26 00:00,473.856823450868
,1994-08-27 00:00,471.95676890875
,1994-08-28 00:00,469.801199425754
,1994-08-29 00:00,467.744295604112
,1994-08-30 00:00,544.077774230912
,1994-08-31 00:00,465.313624339998
,1994-09-01 00:00,468.783394087423
,1994-09-02 00:00,543.225498490455
,1994-09-03 00:00,539.332791152978
,1994-09-04 00:00,536.536390288096
,1994-09-05 00:00,534.304213615878
,1994-09-06 00:00,531.85232557361
,1994-09-07 00:00,529.407373251982
,1994-09-08 00:00,526.898322422205
,1994-09-09 00:00,524.944794300612
,1994-09-10 00:00,523.031135670525
,1994-09-11 00:00,520.030812585713
,1994-09-12 00:00,516.911637349678
,1994-09-13 00:00,514.209908664222
,1994-09-14 00:00,513.980041497879
,1994-09-15 00:00,511.603576746263
,1994-09-16 00:00,508.879958208172
,1994-09-17 00:00,505.269853019348
,1994-09-18 00:00,504.074205712394
,1994-09-19 00:00,500.383115842618
,1994-09-20 00:00,496.528964961399
,1994-09-21 00:00,493.024110752314
,1994-09-22 00:00,488.562963577401
,1994-09-23 00:00,483.710372080576
,1994-09-24 00:00,480.08249687111
,1994-09-25 00:00,477.062218025922
,1994-09-26 00:00,473.868529253012
,1994-09-27 00:00,470.277853106314
,1994-09-28 00:00,467.02109217307
,1994-09-29 00:00,463.373835670115
,1994-09-30 00:00,459.643532310498
,1994-10-01 00:00,457.048152826377
,1994-10-02 00:00,453.740624110051
,1994-10-03 00:00,451.067543266345
,1994-10-04 00:00,447.554541345806
,1994-10-05 00:00,445.15151840021
,1994-10-06 00:00,442.269768129524
,1994-10-07 00:00,527.229592864221
,1994-10-08 00:00,436.86886844889
,1994-10-09 00:00,443.262472987774
,1994-10-10 00:00,512.480581403384
,1994-10-11 00:00,506.820683207029
,1994-10-12 00:00,501.044311261671
,1994-10-13 00:00,495.62915643463
,1994-10-14 00:00,490.92555956992
,1994-10-15 00:00,486.389868466793
,1994-10-16 00:00,481.937580092519
,1994-10-17 00:00,476.672166896136
,1994-10-18 00:00,474.5348375232
,1994-10-19 00:00,469.752668057091
,1994-10-20 00:00,464.16388832262
,1994-10-21 00:00,458.810382616526
,1994-10-22 00:00,453.884571176322
,1994-10-23 00:00,449.62376847778
,1994-10-24 00:00,409.70906511359
,1994-10-25 00:00,406.081282485094
,1994-10-26 00:00,402.807992722219
,1994-10-27 00:00,399.081210178258
,1994-10-28 00:00,395.854635117307
,1994-10-29 00:00,390.730787856766
,1994-10-30 00:00,387.01109845517
,1994-10-31 00:00,383.032729466491
,1994-11-01 00:00,380.863814323274
,1994-11-02 00:00,376.518527067187
,1994-11-03 00:00,372.923136438904
,1994-11-04 00:00,369.096105671012
,1994-11-05 00:00,365.83325844027
,1994-11-06 00:00,361.854203993576
,1994-11-07 00:00,359.377468442262
,1994-11-08 00:00,355.376793486195
,1994-11-09 00:00,351.319590999782
,1994-11-10 00:00,329.397931823865
