@T,table
Created,2016-10-24 10:55
Author,HortonMachine library
@H,timestamp,value_30
ID,,30
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,1994-01-01 00:00,110.2904132
,1994-01-01 01:00,110.5402821
,1994-01-01 02:00,110.816364
,1994-01-01 03:00,111.0905168
,1994-01-01 04:00,111.3736136
,1994-01-01 05:00,111.6794165
,1994-01-01 06:00,111.9956665
,1994-01-01 07:00,112.3305683
,1994-01-01 08:00,112.7056095
,1994-01-01 09:00,113.0886859
,1994-01-01 10:00,113.4379874
,1994-01-01 11:00,113.8023501
,1994-01-01 12:00,113.9673106
,1994-01-01 13:00,114.2350826
,1994-01-01 14:00,114.5764343
,1994-01-01 15:00,115.0838003
,1994-01-01 16:00,115.5990029
,1994-01-01 17:00,116.1303685
,1994-01-01 18:00,116.6693299
,1994-01-01 19:00,117.2563265
,1994-01-01 20:00,117.8207228
,1994-01-01 21:00,118.3962624
,1994-01-01 22:00,118.9844655
,1994-01-01 23:00,119.6046018
,1994-01-02 00:00,120.3564601
,1994-01-02 01:00,120.9720129
,1994-01-02 02:00,121.6727722
,1994-01-02 03:00,122.3197498
,1994-01-02 04:00,123.0000585
,1994-01-02 05:00,123.7085965
,1994-01-02 06:00,124.4629666
,1994-01-02 07:00,125.70471
,1994-01-02 08:00,126.3972341
,1994-01-02 09:00,127.1184748
,1994-01-02 10:00,127.5853524
,1994-01-02 11:00,128.0184198
,1994-01-02 12:00,128.6420102
,1994-01-02 13:00,129.3526267
,1994-01-02 14:00,129.9724845
,1994-01-02 15:00,130.752807
,1994-01-02 16:00,131.5900739
,1994-01-02 17:00,132.4355355
,1994-01-02 18:00,133.1536666
,1994-01-02 19:00,133.8871409
,1994-01-02 20:00,134.6649594
,1994-01-02 21:00,135.4425599
,1994-01-02 22:00,136.2230215
,1994-01-02 23:00,136.9121515
,1994-01-03 00:00,137.581753
,1994-01-03 01:00,138.2608024
,1994-01-03 02:00,138.9918639
,1994-01-03 03:00,139.7075383
,1994-01-03 04:00,140.4250239
,1994-01-03 05:00,141.1130174
,1994-01-03 06:00,141.7927511
,1994-01-03 07:00,142.41088
,1994-01-03 08:00,143.099723
,1994-01-03 09:00,143.7156785
,1994-01-03 10:00,144.1189848
,1994-01-03 11:00,145.0157825
,1994-01-03 12:00,145.4596373
,1994-01-03 13:00,146.0681876
,1994-01-03 14:00,146.8023349
,1994-01-03 15:00,147.6757548
,1994-01-03 16:00,148.53168
,1994-01-03 17:00,149.3178234
,1994-01-03 18:00,150.0093873
,1994-01-03 19:00,150.6281769
,1994-01-03 20:00,151.2631544
,1994-01-03 21:00,151.9217799
,1994-01-03 22:00,152.5624194
,1994-01-03 23:00,153.211463
,1994-01-04 00:00,153.8647036
,1994-01-04 01:00,154.4424967
,1994-01-04 02:00,155.0478852
,1994-01-04 03:00,155.663647
,1994-01-04 04:00,156.1674449
,1994-01-04 05:00,156.6964115
,1994-01-04 06:00,157.2557506
,1994-01-04 07:00,157.8020272
,1994-01-04 08:00,158.35399
,1994-01-04 09:00,158.8392098
,1994-01-04 10:00,159.3312999
,1994-01-04 11:00,159.8206977
,1994-01-04 12:00,160.3064726
,1994-01-04 13:00,160.8561693
,1994-01-04 14:00,161.3591373
,1994-01-04 15:00,161.8861958
,1994-01-04 16:00,162.3872255
,1994-01-04 17:00,162.8713509
,1994-01-04 18:00,164.0469174
,1994-01-04 19:00,164.5535225
,1994-01-04 20:00,165.0554848
,1994-01-04 21:00,165.5644529
,1994-01-04 22:00,166.0326641
,1994-01-04 23:00,166.5173197
,1994-01-05 00:00,167.0068162
,1994-01-05 01:00,167.4981363
,1994-01-05 02:00,167.9350994
,1994-01-05 03:00,168.3845657
,1994-01-05 04:00,168.897715
,1994-01-05 05:00,169.3177329
,1994-01-05 06:00,169.7839909
,1994-01-05 07:00,170.2373908
,1994-01-05 08:00,170.7506773
,1994-01-05 09:00,171.0735736
,1994-01-05 10:00,171.2834204
,1994-01-05 11:00,171.4493883
,1994-01-05 12:00,171.7208857
,1994-01-05 13:00,172.0154266
,1994-01-05 14:00,172.4204641
,1994-01-05 15:00,172.8405071
,1994-01-05 16:00,173.2196385
,1994-01-05 17:00,173.6832168
,1994-01-05 18:00,173.9988883
,1994-01-05 19:00,174.2880864
,1994-01-05 20:00,174.5756892
,1994-01-05 21:00,174.8723134
,1994-01-05 22:00,175.1341132
,1994-01-05 23:00,175.3974013
,1994-01-06 00:00,176.3644732
,1994-01-06 01:00,176.6896278
,1994-01-06 02:00,177.0054826
,1994-01-06 03:00,177.291186
,1994-01-06 04:00,177.5643053
,1994-01-06 05:00,177.8288586
,1994-01-06 06:00,178.0705779
,1994-01-06 07:00,178.3010144
,1994-01-06 08:00,178.5488346
,1994-01-06 09:00,178.7654314
,1994-01-06 10:00,178.9750567
,1994-01-06 11:00,179.1739395
,1994-01-06 12:00,179.3716388
,1994-01-06 13:00,179.5701735
