@T,table
Created,2017-01-24 09:54
Author,HortonMachine library
date_format,yyyy-MM-dd HH:mm
@H,timestamp,value_202
ID,,202
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,1996-09-26 16:00,1.53
,1996-09-26 17:00,1.58
,1996-09-26 18:00,1.58
,1996-09-26 19:00,1.58
,1996-09-26 20:00,1.58
,1996-09-26 21:00,1.685
,1996-09-26 22:00,1.705
,1996-09-26 23:00,1.68
,1996-09-27 00:00,1.68
,1996-09-27 01:00,1.63
,1996-09-27 02:00,1.555
,1996-09-27 03:00,1.58
,1996-09-27 04:00,1.71
,1996-09-27 05:00,1.58
,1996-09-27 06:00,1.655
,1996-09-27 07:00,1.68
,1996-09-27 08:00,1.63
,1996-09-27 09:00,1.53
,1996-09-27 10:00,1.63
,1996-09-27 11:00,1.58
,1996-09-27 12:00,1.63
,1996-09-27 13:00,1.53
,1996-09-27 14:00,1.48
,1996-09-27 15:00,1.715
,1996-09-27 16:00,1.53
,1996-09-27 17:00,1.46
,1996-09-27 18:00,1.485
,1996-09-27 19:00,1.58
,1996-09-27 20:00,1.63
,1996-09-27 21:00,1.58
,1996-09-27 22:00,1.415
,1996-09-27 23:00,1.58
,1996-09-28 00:00,1.48
,1996-09-28 01:00,1.68
,1996-09-28 02:00,1.68
,1996-09-28 03:00,1.68
,1996-09-28 04:00,1.63
,1996-09-28 05:00,1.58
,1996-09-28 06:00,1.515
,1996-09-28 07:00,1.555
,1996-09-28 08:00,1.53
,1996-09-28 09:00,1.58
,1996-09-28 10:00,1.53
,1996-09-28 11:00,1.58
,1996-09-28 12:00,1.505
,1996-09-28 13:00,1.505
,1996-09-28 14:00,1.345
,1996-09-28 15:00,1.71
,1996-09-28 16:00,1.58
,1996-09-28 17:00,1.79
,1996-09-28 18:00,1.58
,1996-09-28 19:00,1.48
,1996-09-28 20:00,1.48
,1996-09-28 21:00,1.53
,1996-09-28 22:00,1.53
,1996-09-28 23:00,1.655
,1996-09-29 00:00,1.58
,1996-09-29 01:00,1.655
,1996-09-29 02:00,1.48
,1996-09-29 03:00,1.48
,1996-09-29 04:00,1.605
,1996-09-29 05:00,1.415
,1996-09-29 06:00,1.58
,1996-09-29 07:00,1.58
,1996-09-29 08:00,1.58
,1996-09-29 09:00,1.555
,1996-09-29 10:00,1.48
,1996-09-29 11:00,1.48
,1996-09-29 12:00,1.48
