@T,table
Created,2017-08-03 08:08
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,1994-01-01 00:00,273.966525404456
,1994-01-01 01:00,280.15109395836896
,1994-01-01 02:00,284.9522567785487
,1994-01-01 03:00,288.61157482614254
,1994-01-01 04:00,291.32975495124936
,1994-01-01 05:00,293.2745231637147
,1994-01-01 06:00,294.5861022675493
,1994-01-01 07:00,295.38142031320007
,1994-01-01 08:00,295.75757161001945
,1994-01-01 09:00,295.7934403279998
,1994-01-01 10:00,295.554717158657
,1994-01-01 11:00,295.09592409579164
,1994-01-01 12:00,294.4620453709386
,1994-01-01 13:00,293.7000634239336
,1994-01-01 14:00,293.1908416225757
,1994-01-01 15:00,292.9241515784835
,1994-01-01 16:00,292.86388149766583
,1994-01-01 17:00,292.9717745233213
,1994-01-01 18:00,292.9066969486076
,1994-01-01 19:00,292.6356276758409
,1994-01-01 20:00,292.18781242354504
,1994-01-01 21:00,291.5902825699658
,1994-01-01 22:00,290.87132625408424
,1994-01-01 23:00,290.05548721569374
,1994-01-02 00:00,289.1633927638596
,1994-01-02 01:00,288.21214975940114
,1994-01-02 02:00,287.2158620856767
,1994-01-02 03:00,286.1861246185326
,1994-01-02 04:00,285.1324536490243
,1994-01-02 05:00,284.062649173101
,1994-01-02 06:00,282.98309549608393
,1994-01-02 07:00,281.89900916541933
,1994-01-02 08:00,280.8146235578873
,1994-01-02 09:00,279.73298807145324
,1994-01-02 10:00,278.6566808533471
,1994-01-02 11:00,277.5878952291542
,1994-01-02 12:00,276.56886504182904
,1994-01-02 13:00,275.56578102145914
,1994-01-02 14:00,274.5714754300911
,1994-01-02 15:00,273.5865216050889
,1994-01-02 16:00,272.61169080854444
,1994-01-02 17:00,271.64779911978155
,1994-01-02 18:00,270.69555866346144
,1994-01-02 19:00,269.75554377029266
,1994-01-02 20:00,268.82819522656536
,1994-01-02 21:00,267.9138355699897
,1994-01-02 22:00,267.0126861641062
,1994-01-02 23:00,266.1248830837177
,1994-01-03 00:00,265.2504910427483
,1994-01-03 01:00,264.38951533489484
,1994-01-03 02:00,263.54191198142206
,1994-01-03 03:00,262.70759632680677
,1994-01-03 04:00,261.8864503114114
,1994-01-03 05:00,261.0783286228987
,1994-01-03 06:00,260.2830638988786
,1994-01-03 07:00,259.50047112670416
,1994-01-03 08:00,258.7303415861031
,1994-01-03 09:00,257.97232685371193
,1994-01-03 10:00,257.22611868546807
,1994-01-03 11:00,256.4914566639238
,1994-01-03 12:00,255.78645853655604
,1994-01-03 13:00,255.18757350667735
,1994-01-03 14:00,254.67876016772036
,1994-01-03 15:00,254.1791221531399
,1994-01-03 16:00,253.67866795790965
,1994-01-03 17:00,253.1753762765575
,1994-01-03 18:00,252.66912913743263
,1994-01-03 19:00,252.16043184022405
,1994-01-03 20:00,251.64995520161978
,1994-01-03 21:00,251.1383763213303
,1994-01-03 22:00,250.62632668303752
,1994-01-03 23:00,250.11437840998693
,1994-01-04 00:00,249.6030437526012
,1994-01-04 01:00,249.09277887338263
,1994-01-04 02:00,248.5839887585518
,1994-01-04 03:00,248.07703215974382
,1994-01-04 04:00,247.57222621197877
,1994-01-04 05:00,247.0698506373638
,1994-01-04 06:00,246.57015153468822
,1994-01-04 07:00,246.07334478401148
,1994-01-04 08:00,245.57961358942862
,1994-01-04 09:00,245.08900323673268
,1994-01-04 10:00,244.60158769551128
,1994-01-04 11:00,244.11747064977277
,1994-01-04 12:00,243.6367833459757
,1994-01-04 13:00,243.15968163280002
,1994-01-04 14:00,242.6863302493105
,1994-01-04 15:00,242.21687539791995
,1994-01-04 16:00,241.75136336006994
,1994-01-04 17:00,241.28983026938388
,1994-01-04 18:00,240.8323031518983
,1994-01-04 19:00,240.37880086455615
,1994-01-04 20:00,239.92933494227918
,1994-01-04 21:00,239.48391036283277
,1994-01-04 22:00,239.04252623771876
,1994-01-04 23:00,238.60517643646241
,1994-01-05 00:00,238.17185015088708
,1994-01-05 01:00,237.742532405284
,1994-01-05 02:00,237.31720451777295
,1994-01-05 03:00,236.89584451760555
,1994-01-05 04:00,236.47842752267687
,1994-01-05 05:00,236.06492608107826
,1994-01-05 06:00,235.65531048013818
,1994-01-05 07:00,235.24954902605126
,1994-01-05 08:00,234.8476040185183
,1994-01-05 09:00,234.44938362790708
,1994-01-05 10:00,234.0548140283987
,1994-01-05 11:00,233.66384199789007
,1994-01-05 12:00,233.276439492035
,1994-01-05 13:00,232.89259967849753
,1994-01-05 14:00,232.53466674740633
,1994-01-05 15:00,232.19396951849942
,1994-01-05 16:00,231.85884945341556
,1994-01-05 17:00,231.52621969977994
,1994-01-05 18:00,231.1955139806439
,1994-01-05 19:00,230.86655905513513
,1994-01-05 20:00,230.53932164725228
,1994-01-05 21:00,230.21381624699018
,1994-01-05 22:00,229.8900717705693
,1994-01-05 23:00,229.56811965415397
,1994-01-06 00:00,229.24798973072393
,1994-01-06 01:00,228.9297089224107
,1994-01-06 02:00,228.61330094242052
,1994-01-06 03:00,228.2987863508665
,1994-01-06 04:00,227.98618272707586
,1994-01-06 05:00,227.67550487296793
,1994-01-06 06:00,227.3667650173138
,1994-01-06 07:00,227.0599730107025
,1994-01-06 08:00,226.75513293375687
,1994-01-06 09:00,226.45220367985428
,1994-01-06 10:00,226.15116101296783
,1994-01-06 11:00,225.85199767717168
,1994-01-06 12:00,225.5547226452347
,1994-01-06 13:00,225.25935891492827
,1994-01-06 14:00,224.96593916007978
,1994-01-06 15:00,224.67449595780374
,1994-01-06 16:00,224.38502387658102
,1994-01-06 17:00,224.0975164811953
,1994-01-06 18:00,223.8119664173841
,1994-01-06 19:00,223.52836549040785
,1994-01-06 20:00,223.2467047379806
,1994-01-06 21:00,222.9669744979726
,1994-01-06 22:00,222.68916447126338
,1994-01-06 23:00,222.4132637800951
,1994-01-07 00:00,222.13926102224897
,1994-01-07 01:00,221.86714432134428
,1994-01-07 02:00,221.5969013735359
,1994-01-07 03:00,221.3285194908663
,1994-01-07 04:00,221.0619856415091
,1994-01-07 05:00,220.79728648712265
,1994-01-07 06:00,220.5344084175178
