@T,table,,,,,
Created,7/20/17 10:01,,,,,
Author,HortonMachine library,,,,,
@H,timestamp,value_42,,,,
ID,,42,,,,
Type,Date,Double,,,,
Format,yyyy-MM-dd HH:mm,,,,,
,1998-01-01 00:00,0.719592276,0.719592276,0.822454516,0.822454516,1
,1998-01-02 00:00,3.280637042,4.000229318,3.687847892,4.510302408,1
,1998-01-03 00:00,3.046361204,7.046590522,3.124190124,7.634492532,1
,1998-01-04 00:00,1.091594625,8.138185147,0.824889827,8.45938236,1
,1998-01-05 00:00,0.814568274,8.952753421,0.701459143,9.160841502,1
,1998-01-06 00:00,0.142628421,9.095381842,0.014746963,9.175588465,0.991258694
,1998-01-07 00:00,0.047393845,9.142775686,0,9.175588465,0.996423905
,1998-01-08 00:00,0.016721723,9.15949741,0,9.175588465,0.998246319
,1998-01-09 00:00,0.005353739,9.164851149,0,9.175588465,0.998829795
,1998-01-10 00:00,1.320391483,10.48524263,1.522905645,10.69849411,0.98006715
,1998-01-11 00:00,1.613181562,12.09842419,1.723230006,12.42172412,0.973973024
,1998-01-12 00:00,0.168615596,12.26703979,0,12.42172412,0.987547274
,1998-01-13 00:00,0.05156499,12.31860478,0,12.42172412,0.991698468
,1998-01-14 00:00,4.186963647,16.50556843,4.800682076,17.22240619,0.958377607
,1998-01-15 00:00,5.982485134,22.48805356,6.433771485,23.65617768,0.950620758
,1998-01-16 00:00,9.090827391,31.57888095,9.693377139,33.34955482,0.946905622
,1998-01-17 00:00,2.947622948,34.5265039,2.241222523,35.59077734,0.970096932
,1998-01-18 00:00,0.514989933,35.04149383,0,35.59077734,0.98456669
,1998-01-19 00:00,0.154826191,35.19632002,0,35.59077734,0.988916867
,1998-01-20 00:00,0.03365869,35.22997871,0,35.59077734,0.989862581
,1998-01-21 00:00,0.006897772,35.23687649,0,35.59077734,0.990056389
,1998-01-22 00:00,0.001383022,35.23825951,0,35.59077734,0.990095248
,1998-01-23 00:00,2.68E-04,35.23852775,0,35.59077734,0.990102785
,1998-01-24 00:00,5.05E-05,35.23857828,0,35.59077734,0.990104204
,1998-01-25 00:00,9.22E-06,35.2385875,0,35.59077734,0.990104463
,1998-01-26 00:00,1.62E-06,35.23858912,0,35.59077734,0.990104509
,1998-01-27 00:00,2.79E-07,35.2385894,0,35.59077734,0.990104517
,1998-01-28 00:00,4.60E-08,35.23858945,0,35.59077734,0.990104518
,1998-01-29 00:00,7.22E-09,35.23858945,0,35.59077734,0.990104518
,1998-01-30 00:00,1.07E-09,35.23858945,0,35.59077734,0.990104518
,1998-01-31 00:00,1.25E-10,35.23858945,0,35.59077734,0.990104518
,1998-02-01 00:00,1.38E-11,35.23858945,0,35.59077734,0.990104518
,1998-02-02 00:00,1.49E-12,35.23858945,0,35.59077734,0.990104518
,1998-02-03 00:00,1.46E-13,35.23858945,0,35.59077734,0.990104518
,1998-02-04 00:00,1.22E-14,35.23858945,0,35.59077734,0.990104518
,1998-02-05 00:00,9.44E-16,35.23858945,0,35.59077734,0.990104518
,1998-02-06 00:00,0,35.23858945,0,35.59077734,0.990104518
,1998-02-07 00:00,0,35.23858945,0,35.59077734,0.990104518
,1998-02-08 00:00,0,35.23858945,0,35.59077734,0.990104518
,1998-02-09 00:00,0,35.23858945,0,35.59077734,0.990104518
,1998-02-10 00:00,0,35.23858945,0,35.59077734,0.990104518
,1998-02-11 00:00,0.511581286,35.75017074,0.683409255,36.27418659,0.985554029
,1998-02-12 00:00,5.465930809,41.21610155,6.450193877,42.72438047,0.964697465
,1998-02-13 00:00,9.338420187,50.55452174,10.40144836,53.12582883,0.95159968
,1998-02-14 00:00,9.187776172,59.74229791,9.69042266,62.81625149,0.951064358
,1998-02-15 00:00,7.597697365,67.33999527,7.737394314,70.55364581,0.954450964
,1998-02-16 00:00,8.032649996,75.37264527,8.387477198,78.94112301,0.954795706
,1998-02-17 00:00,8.897980355,84.27062562,9.406452909,88.34757591,0.953853286
,1998-02-18 00:00,3.989705783,88.26033141,3.670746786,92.0183227,0.959160402
,1998-02-19 00:00,4.149103014,92.40943442,4.375259902,96.3935826,0.958667911
,1998-02-20 00:00,5.392559142,97.80199356,5.952851194,102.3464338,0.955597474
,1998-02-21 00:00,4.819399585,102.6213931,5.211415068,107.5578489,0.95410418
,1998-02-22 00:00,5.460840559,108.0822337,5.968817504,113.5266664,0.952042698
,1998-02-23 00:00,12.71918925,120.801423,14.23504999,127.7617164,0.945521291
,1998-02-24 00:00,1.103843164,121.9052661,0.163992434,127.9257088,0.952937977
,1998-02-25 00:00,0.052486918,121.957753,0,127.9257088,0.953348269
,1998-02-26 00:00,1.60E-04,121.9579128,0,127.9257088,0.953349518
,1998-02-27 00:00,3.47E-07,121.9579131,0,127.9257088,0.95334952
,1998-02-28 00:00,9.18E-10,121.9579131,0,127.9257088,0.95334952
,1998-03-01 00:00,0.97326598,122.9311791,1.37922949,129.3049383,0.950707535
,1998-03-02 00:00,1.34E-04,122.9313129,0,129.3049383,0.950708569
,1998-03-03 00:00,2.01E-07,122.9313131,0,129.3049383,0.950708571
,1998-03-04 00:00,2.60E-10,122.9313131,0,129.3049383,0.950708571
,1998-03-05 00:00,0.812328909,123.743642,1.161112434,130.4660507,0.948473885
,1998-03-06 00:00,3.84E-05,123.7436804,0,130.4660507,0.948474179
,1998-03-07 00:00,2.27E-08,123.7436804,0,130.4660507,0.94847418
,1998-03-08 00:00,0.097852608,123.841533,0.140810864,130.6068616,0.948200818
,1998-03-09 00:00,0.031232105,123.8727651,0.045042512,130.6519041,0.948112972
,1998-03-10 00:00,1.48E-06,123.8727666,0,130.6519041,0.948112984
,1998-03-11 00:00,1.59E-09,123.8727666,0,130.6519041,0.948112984
,1998-03-12 00:00,3.68E-13,123.8727666,0,130.6519041,0.948112984
,1998-03-13 00:00,0,123.8727666,0,130.6519041,0.948112984
,1998-03-14 00:00,0,123.8727666,0,130.6519041,0.948112984
,1998-03-15 00:00,0,123.8727666,0,130.6519041,0.948112984
,1998-03-16 00:00,0,123.8727666,0,130.6519041,0.948112984
