@T,table,
Created,7/20/17 10:01,
Author,HortonMachine library,
@H,timestamp,value_42
ID,,42
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,1994-01-01 00:00,1.197774615
,1994-01-02 00:00,0.200134288
,1994-01-03 00:00,0.072149093
,1994-01-04 00:00,0.026074367
,1994-01-05 00:00,0.009342436
,1994-01-06 00:00,0.003336883
,1994-01-07 00:00,22.39391945
,1994-01-08 00:00,27.43719799
,1994-01-09 00:00,7.425001412
,1994-01-10 00:00,5.179143912
,1994-01-11 00:00,19.33066332
,1994-01-12 00:00,5.205928547
,1994-01-13 00:00,3.653173042
,1994-01-14 00:00,1.433176948
,1994-01-15 00:00,0.771186
,1994-01-16 00:00,0.133205426
,1994-01-17 00:00,0.031606549
,1994-01-18 00:00,0.007250035
,1994-01-19 00:00,0.001620022
,1994-01-20 00:00,3.49E-04
,1994-01-21 00:00,7.20E-05
,1994-01-22 00:00,1.44E-05
,1994-01-23 00:00,2.74E-06
,1994-01-24 00:00,5.09E-07
,1994-01-25 00:00,9.04E-08
,1994-01-26 00:00,0.165053314
,1994-01-27 00:00,0.338098375
,1994-01-28 00:00,0.010912273
,1994-01-29 00:00,0.041730431
,1994-01-30 00:00,0.001316815
,1994-01-31 00:00,1.38E-04
,1994-02-01 00:00,1.34E-05
,1994-02-02 00:00,1.24E-06
,1994-02-03 00:00,1.06E-07
,1994-02-04 00:00,0.773803116
,1994-02-05 00:00,10.35666316
,1994-02-06 00:00,5.513648688
,1994-02-07 00:00,5.591329818
,1994-02-08 00:00,6.956135471
,1994-02-09 00:00,2.316642848
,1994-02-10 00:00,0.257287985
,1994-02-11 00:00,0.013834148
,1994-02-12 00:00,6.08E-04
,1994-02-13 00:00,3.62E-04
,1994-02-14 00:00,1.60E-05
,1994-02-15 00:00,7.12E-07
,1994-02-16 00:00,3.00E-08
,1994-02-17 00:00,1.05E-09
,1994-02-18 00:00,1.97E-11
,1994-02-19 00:00,2.37E-13
,1994-02-20 00:00,0
,1994-02-21 00:00,0
,1994-02-22 00:00,0
,1994-02-23 00:00,0
,1994-02-24 00:00,0
,1994-02-25 00:00,0
,1994-02-26 00:00,0
,1994-02-27 00:00,0
,1994-02-28 00:00,4.252176454
,1994-03-01 00:00,38.56977937
,1994-03-02 00:00,7.663340069
,1994-03-03 00:00,5.153432842
,1994-03-04 00:00,5.216874007
,1994-03-05 00:00,2.189729164
,1994-03-06 00:00,2.313341907
,1994-03-07 00:00,3.936268926
,1994-03-08 00:00,5.417105391
,1994-03-09 00:00,8.474237855
,1994-03-10 00:00,8.55863661
,1994-03-11 00:00,7.899384658
,1994-03-12 00:00,7.524013831
,1994-03-13 00:00,5.415693951
,1994-03-14 00:00,6.373483301
,1994-03-15 00:00,4.884486477
,1994-03-16 00:00,5.453534451
,1994-03-17 00:00,5.832673236
,1994-03-18 00:00,3.038717577
,1994-03-19 00:00,2.74368418
,1994-03-20 00:00,4.353191875
,1994-03-21 00:00,3.874891464
,1994-03-22 00:00,8.06E-05
,1994-03-23 00:00,6.65E-10
,1994-03-24 00:00,0
,1994-03-25 00:00,0.042005226
,1994-03-26 00:00,0.117771318
,1994-03-27 00:00,0.032060104
,1994-03-28 00:00,2.97E-08
,1994-03-29 00:00,2.05E-13
,1994-03-30 00:00,0
,1994-03-31 00:00,0
,1994-04-01 00:00,22.15156817
,1994-04-02 00:00,4.034634399
,1994-04-03 00:00,0.057493134
,1994-04-04 00:00,1.46E-06
,1994-04-05 00:00,2.70E-10
,1994-04-06 00:00,0.930246295
,1994-04-07 00:00,0.318707542
,1994-04-08 00:00,7.19E-07
,1994-04-09 00:00,0.905002259
,1994-04-10 00:00,1.96286491
,1994-04-11 00:00,2.455800274
,1994-04-12 00:00,2.398580015
,1994-04-13 00:00,2.81667127
,1994-04-14 00:00,23.35298356
,1994-04-15 00:00,21.47501865
,1994-04-16 00:00,19.64372072
,1994-04-17 00:00,25.03208833
,1994-04-18 00:00,8.841009605
,1994-04-19 00:00,2.913162653
,1994-04-20 00:00,2.54E-05
,1994-04-21 00:00,5.52E-11
,1994-04-22 00:00,0.984399847
,1994-04-23 00:00,1.067234032
,1994-04-24 00:00,0.586013049
,1994-04-25 00:00,14.17410897
,1994-04-26 00:00,0.81179326
,1994-04-27 00:00,1.74E-04
,1994-04-28 00:00,2.18E-07
,1994-04-29 00:00,2.51E-10
,1994-04-30 00:00,0
,1994-05-01 00:00,0
,1994-05-02 00:00,0
,1994-05-03 00:00,0
,1994-05-04 00:00,0
,1994-05-05 00:00,7.335668981
,1994-05-06 00:00,0.035691488
,1994-05-07 00:00,0
,1994-05-08 00:00,0
,1994-05-09 00:00,0
,1994-05-10 00:00,0.063735787
,1994-05-11 00:00,9.979081284
,1994-05-12 00:00,0.198373923
,1994-05-13 00:00,0.222433104
,1994-05-14 00:00,12.68988874
,1994-05-15 00:00,0.134123273
,1994-05-16 00:00,0.001108859
,1994-05-17 00:00,1.97E-05
,1994-05-18 00:00,88.45396011
,1994-05-19 00:00,14.32018942
,1994-05-20 00:00,20.22294157
,1994-05-21 00:00,0.662759346
,1994-05-22 00:00,0.010017178
,1994-05-23 00:00,1.49E-04
,1994-05-24 00:00,0.031807487
,1994-05-25 00:00,1.066923407
,1994-05-26 00:00,2.311575384
,1994-05-27 00:00,0.161598421
,1994-05-28 00:00,0.273855952
,1994-05-29 00:00,9.99E-04
,1994-05-30 00:00,23.35916307
,1994-05-31 00:00,0.267819267
,1994-06-01 00:00,0.006581418
,1994-06-02 00:00,1.59E-04
,1994-06-03 00:00,0.360724471
,1994-06-04 00:00,0.082777004
,1994-06-05 00:00,1.39E-04
,1994-06-06 00:00,1.95E-06
,1994-06-07 00:00,2.71E-08
,1994-06-08 00:00,3.49E-10
,1994-06-09 00:00,5.066019754
,1994-06-10 00:00,3.949313177
,1994-06-11 00:00,5.689978752
,1994-06-12 00:00,4.223523982
,1994-06-13 00:00,2.944674715
,1994-06-14 00:00,0.014969541
,1994-06-15 00:00,5.15E-04
,1994-06-16 00:00,1.78E-05
,1994-06-17 00:00,6.29E-07
,1994-06-18 00:00,0.047825558
,1994-06-19 00:00,2.12E-04
,1994-06-20 00:00,12.68976611
,1994-06-21 00:00,7.704288496
