@T,table,,,
Created,7/20/17 10:01,,,
Author,HortonMachine library,,,
@H,timestamp,value_42,,
ID,,42,,
Type,Date,Double,,
Format,yyyy-MM-dd HH:mm,,,
,1994-01-01 00:00,0.547774615,0,0
,1994-01-02 00:00,0.200134288,0,0
,1994-01-03 00:00,0.072149093,0,0
,1994-01-04 00:00,0.026074367,0,0
,1994-01-05 00:00,0.009342436,0,0
,1994-01-06 00:00,0.003336883,0,0
,1994-01-07 00:00,5.686342485,25.70396456,4.520298351
,1994-01-08 00:00,8.526519766,29.09335112,3.412101528
,1994-01-09 00:00,4.219938946,4.930865332,1.168468406
,1994-01-10 00:00,2.466409354,4.173437782,1.69211075
,1994-01-11 00:00,5.577592881,21.1585699,3.793494856
,1994-01-12 00:00,2.844511249,3.632949688,1.277178879
,1994-01-13 00:00,1.699149256,3.00619044,1.769232709
,1994-01-14 00:00,0.819530015,0.944072204,1.151967819
,1994-01-15 00:00,0.408955335,0.557277946,1.362686579
,1994-01-16 00:00,0.133205426,0,0
,1994-01-17 00:00,0.031606549,0,0
,1994-01-18 00:00,0.007250035,0,0
,1994-01-19 00:00,0.001620022,0,0
,1994-01-20 00:00,3.49E-04,0,0
,1994-01-21 00:00,7.20E-05,0,0
,1994-01-22 00:00,1.44E-05,0,0
,1994-01-23 00:00,2.74E-06,0,0
,1994-01-24 00:00,5.09E-07,0,0
,1994-01-25 00:00,9.04E-08,0,0
,1994-01-26 00:00,0.033324996,0.202658951,6.081289604
,1994-01-27 00:00,0.070943029,0.411008224,5.793496941
,1994-01-28 00:00,0.010912273,0,0
,1994-01-29 00:00,0.009431814,0.049690179,5.26835868
,1994-01-30 00:00,0.001316815,0,0
,1994-01-31 00:00,1.38E-04,0,0
,1994-02-01 00:00,1.34E-05,0,0
,1994-02-02 00:00,1.24E-06,0,0
,1994-02-03 00:00,1.06E-07,0,0
,1994-02-04 00:00,0.128225178,0.993196829,7.745723929
,1994-02-05 00:00,2.580056721,11.96400991,4.637111195
,1994-02-06 00:00,2.016976403,5.379495824,2.667108954
,1994-02-07 00:00,1.872139908,5.721830631,3.056305037
,1994-02-08 00:00,2.180921489,7.346483049,3.368522474
,1994-02-09 00:00,1.079322703,1.903569454,1.763670354
,1994-02-10 00:00,0.257287985,0,0
,1994-02-11 00:00,0.013834148,0,0
,1994-02-12 00:00,6.08E-04,0,0
,1994-02-13 00:00,3.62E-04,0,0
,1994-02-14 00:00,1.60E-05,0,0
,1994-02-15 00:00,7.12E-07,0,0
,1994-02-16 00:00,3.00E-08,0,0
,1994-02-17 00:00,1.05E-09,0,0
,1994-02-18 00:00,1.97E-11,0,0
,1994-02-19 00:00,2.37E-13,0,0
,1994-02-20 00:00,0,0,0
,1994-02-21 00:00,0,0,0
,1994-02-22 00:00,0,0,0
,1994-02-23 00:00,0,0,0
,1994-02-24 00:00,0,0,0
,1994-02-25 00:00,0,0,0
,1994-02-26 00:00,0,0,0
,1994-02-27 00:00,0,0,0
,1994-02-28 00:00,0.835705171,5.256109665,6.289430588
,1994-03-01 00:00,9.756686862,44.32783463,4.543328617
,1994-03-02 00:00,4.334284559,5.121623861,1.18165381
,1994-03-03 00:00,2.203134977,4.538919792,2.060209583
,1994-03-04 00:00,1.609898294,5.549193404,3.446921724
,1994-03-05 00:00,0.687852938,2.310578809,3.359117453
,1994-03-06 00:00,0.451011902,2.865123085,6.352655163
,1994-03-07 00:00,0.775591122,4.862581237,6.269516369
,1994-03-08 00:00,1.227340256,6.445792515,5.251838259
,1994-03-09 00:00,2.090189434,9.821612956,4.698910441
,1994-03-10 00:00,2.336606711,9.572353691,4.096690147
,1994-03-11 00:00,2.237723223,8.710248363,3.892460102
,1994-03-12 00:00,2.101085697,8.34296636,3.970788231
,1994-03-13 00:00,1.541841057,5.959773683,3.865361905
,1994-03-14 00:00,1.601796172,7.341057122,4.583015773
,1994-03-15 00:00,1.246128351,5.59747404,4.491892057
,1994-03-16 00:00,1.271225952,6.434320768,5.061508347
,1994-03-17 00:00,1.357222713,6.885308497,5.073086704
,1994-03-18 00:00,0.69184205,3.610577733,5.218789074
,1994-03-19 00:00,0.427282178,3.563695387,8.340379185
,1994-03-20 00:00,0.725413702,5.581197188,7.693812743
,1994-03-21 00:00,0.662467411,4.94219085,7.46027769
,1994-03-22 00:00,8.06E-05,0,0
,1994-03-23 00:00,6.65E-10,0,0
,1994-03-24 00:00,0,0,0
,1994-03-25 00:00,0.00194224,0.061635363,31.73416046
,1994-03-26 00:00,0.005449292,0.172803118,31.71111402
,1994-03-27 00:00,0.001495498,0.047022472,31.44269034
,1994-03-28 00:00,2.97E-08,0,0
,1994-03-29 00:00,2.05E-13,0,0
,1994-03-30 00:00,0,0,0
,1994-03-31 00:00,0,0,0
,1994-04-01 00:00,4.989318061,26.40346171,5.291998102
,1994-04-02 00:00,1.76165353,3.496893644,1.985006464
,1994-04-03 00:00,0.018048033,0.060684771,3.362403528
,1994-04-04 00:00,1.46E-06,0,0
,1994-04-05 00:00,2.70E-10,0,0
,1994-04-06 00:00,0.049004584,1.355756479,27.6659114
,1994-04-07 00:00,0.016051441,0.465624771,29.00828535
,1994-04-08 00:00,7.19E-07,0,0
,1994-04-09 00:00,0.045858432,1.321759733,28.82261043
,1994-04-10 00:00,0.101226689,2.864058802,28.29351472
,1994-04-11 00:00,0.125275223,3.585423156,28.62036942
,1994-04-12 00:00,0.113182939,3.515995503,31.06471297
,1994-04-13 00:00,0.131829168,4.13052631,31.33241581
,1994-04-14 00:00,5.178212319,27.96118652,5.399775983
,1994-04-15 00:00,6.12510806,23.61524706,3.855482521
,1994-04-16 00:00,5.886647247,21.16472842,3.59537909
,1994-04-17 00:00,7.145682274,27.51754777,3.850933573
,1994-04-18 00:00,3.347380388,8.451737257,2.524881035
,1994-04-19 00:00,0.871445386,3.141103488,3.604475437
,1994-04-20 00:00,2.54E-05,0,0
,1994-04-21 00:00,5.52E-11,0,0
,1994-04-22 00:00,0.037110681,1.457367947,39.27084871
,1994-04-23 00:00,0.084657062,1.511656876,17.85624068
,1994-04-24 00:00,0.04744881,0.828560368,17.46219476
